Book,Chapter,Sentiment
1,1,0.0261
1,2,0.0132
1,3,-0.0061
1,4,0.0032
1,5,0.0613
1,6,0.0246
1,7,0.0388
1,8,-0.0025
1,9,0.0235
1,10,0.0311
1,11,0.0068
1,12,0.0357
1,13,0.0281
1,14,0.0255
1,15,0.0076
1,16,0.0259
1,17,0.0282
2,1,0.049
2,2,0.01
2,3,0.0457
2,4,0.0534
2,5,0.0691
2,6,0.0544
2,7,0.0891
2,8,0.0527
2,9,0.0222
2,10,0.0401
2,11,0.0009
2,12,0.0077
2,13,-0.0083
2,14,0.0665
2,15,0.0178
2,16,0.0403
2,17,-0.0075
2,18,0.0034
2,19,0.0117
2,20,0.0181
2,21,-0.0109
2,22,0.0313
2,23,0.0621
3,1,0.0559
3,2,0.0098
3,3,0.0232
3,4,0.0446
3,5,0.0071
3,6,0.032
3,7,0.0409
3,8,0.0426
3,9,-0.0036
3,10,-0.0075
3,11,0.0194
3,12,0.0317
3,13,0.0429
3,14,0.0109
3,15,0.0142
3,16,0.0034
3,17,-0.0288
3,18,-0.0087
3,19,0.0022
3,20,-0.0095
3,21,0.0105
3,22,0.0341
4,1,-0.0004
4,2,0.0207
4,3,0.0364
4,4,0.0178
4,5,0.0271
4,6,0.0351
4,7,0.0488
4,8,0.046
4,9,-0.0033
4,10,0.0245
4,11,0.0261
4,12,0.0407
4,13,0.0291
4,14,0.0389
4,15,0.0449
4,16,0.0516
4,17,0.0373
4,18,0.034
4,19,0.011
4,20,0.0436
4,21,0.0118
4,22,0.0106
4,23,0.0406
4,24,0.012
4,25,0.0129
4,26,0.0191
4,27,0.0197
4,28,0.0034
4,29,0.012
4,30,0.0133
4,31,0.0339
4,32,-0.0166
4,33,0.0177
4,34,0.0136
4,35,0.0025
4,36,0.0186
4,37,0.0362
5,1,0.0101
5,2,-0.0125
5,3,0.0508
5,4,0.0006
5,5,0.0369
5,6,0.0174
5,7,0.0202
5,8,0.042
5,9,0.0137
5,10,0.02
5,11,0.0439
5,12,0.0325
5,13,0.0072
5,14,0.0235
5,15,0.0216
5,16,0.0322
5,17,-0.005
5,18,0.0318
5,19,-0.0043
5,20,0.0018
5,21,0.0026
5,22,0.0043
5,23,0.0315
5,24,-0.002
5,25,0.0173
5,26,0.0138
5,27,0.0164
5,28,0.0273
5,29,0.0231
5,30,0.0088
5,31,0.0119
5,32,0.0034
5,33,0.0141
5,34,0.0167
5,35,-0.0065
5,36,-0.0024
5,37,0.0303
5,38,0.0218
6,1,0.0276
6,2,0.0097
6,3,0.0321
6,4,0.0427
6,5,0.0297
6,6,0.0439
6,7,0.0298
6,8,0.0469
6,9,0.0696
6,10,0.0079
6,11,0.0193
6,12,0.0297
6,13,0.0589
6,14,0.0306
6,15,0.0339
6,16,0.0433
6,17,0.0563
6,18,0.0187
6,19,0.0189
6,20,0.0545
6,21,0.0251
6,22,0.0339
6,23,0.0386
6,24,0.014
6,25,0.0219
6,26,0.0185
6,27,0.0103
6,28,-0.0174
6,29,-0.0001
6,30,0.0316
7,1,0.0571
7,2,0.047
7,3,0.0723
7,4,0.0381
7,5,0.0007
7,6,0.0393
7,7,0.0514
7,8,0.0661
7,9,0.0121
7,10,0.0184
7,11,0.0759
7,12,0.0329
7,13,0.004
7,14,-0.007
7,15,0.0336
7,16,0.0186
7,17,-0.0163
7,18,0.025
7,19,0.0194
7,20,0.0399
7,21,0.0071
7,22,0.0254
7,23,0.0142
7,24,0.0215
7,25,0.0552
7,26,0.0233
7,27,0.0027
7,28,0.059
7,29,0.046
7,30,0.035
7,31,0.0215
7,32,0.0243
7,33,0.0048
7,34,0.0314
7,35,0.0546
7,36,0.0338
